"","x"
"1",0
"2",0.001001001001001
"3",0.002002002002002
"4",0.003003003003003
"5",0.004004004004004
"6",0.005005005005005
"7",0.00600600600600601
"8",0.00700700700700701
"9",0.00800800800800801
"10",0.00900900900900901
"11",0.01001001001001
"12",0.011011011011011
"13",0.012012012012012
"14",0.013013013013013
"15",0.014014014014014
"16",0.015015015015015
"17",0.016016016016016
"18",0.017017017017017
"19",0.018018018018018
"20",0.019019019019019
"21",0.02002002002002
"22",0.021021021021021
"23",0.022022022022022
"24",0.023023023023023
"25",0.024024024024024
"26",0.025025025025025
"27",0.026026026026026
"28",0.027027027027027
"29",0.028028028028028
"30",0.029029029029029
"31",0.03003003003003
"32",0.031031031031031
"33",0.032032032032032
"34",0.033033033033033
"35",0.034034034034034
"36",0.035035035035035
"37",0.036036036036036
"38",0.037037037037037
"39",0.038038038038038
"40",0.039039039039039
"41",0.04004004004004
"42",0.041041041041041
"43",0.042042042042042
"44",0.043043043043043
"45",0.044044044044044
"46",0.045045045045045
"47",0.046046046046046
"48",0.047047047047047
"49",0.048048048048048
"50",0.049049049049049
"51",0.05005005005005
"52",0.051051051051051
"53",0.052052052052052
"54",0.053053053053053
"55",0.0540540540540541
"56",0.0550550550550551
"57",0.0560560560560561
"58",0.057057057057057
"59",0.058058058058058
"60",0.0590590590590591
"61",0.0600600600600601
"62",0.0610610610610611
"63",0.0620620620620621
"64",0.0630630630630631
"65",0.0640640640640641
"66",0.0650650650650651
"67",0.0660660660660661
"68",0.0670670670670671
"69",0.0680680680680681
"70",0.0690690690690691
"71",0.0700700700700701
"72",0.0710710710710711
"73",0.0720720720720721
"74",0.0730730730730731
"75",0.0740740740740741
"76",0.0750750750750751
"77",0.0760760760760761
"78",0.0770770770770771
"79",0.0780780780780781
"80",0.0790790790790791
"81",0.0800800800800801
"82",0.0810810810810811
"83",0.0820820820820821
"84",0.0830830830830831
"85",0.0840840840840841
"86",0.0850850850850851
"87",0.0860860860860861
"88",0.0870870870870871
"89",0.0880880880880881
"90",0.0890890890890891
"91",0.0900900900900901
"92",0.0910910910910911
"93",0.0920920920920921
"94",0.0930930930930931
"95",0.0940940940940941
"96",0.0950950950950951
"97",0.0960960960960961
"98",0.0970970970970971
"99",0.0980980980980981
"100",0.0990990990990991
"101",0.1001001001001
"102",0.101101101101101
"103",0.102102102102102
"104",0.103103103103103
"105",0.104104104104104
"106",0.105105105105105
"107",0.106106106106106
"108",0.107107107107107
"109",0.108108108108108
"110",0.109109109109109
"111",0.11011011011011
"112",0.111111111111111
"113",0.112112112112112
"114",0.113113113113113
