"","x"
"1",0.4
"2",0.419801968384281
"3",0.43895440114002
"4",0.45745683428833
"5",0.475309850695657
"6",0.492515076035024
"7",0.509075173058808
"8",0.524993834192644
"9",0.54027577246277
"10",0.554926710771816
"11",0.568953369540733
"12",0.582363452737191
"13",0.595165632313393
"14",0.607369531078829
"15",0.618985704036026
"16",0.630025618209852
"17",0.640501631003349
"18",0.650426967115485
"19",0.659815694058512
"20",0.668682696314923
"21",0.677043648176168
"22",0.68491498530745
"23",0.69231387508497
"24",0.699258185753988
"25",0.70576645445797
"26",0.711857854190924
"27",0.717552159726763
"28",0.722869712581208
"29",0.727831385063285
"30",0.732458543474972
"31",0.736773010518902
"32",0.740797026975336
"33",0.744553212710791
"34",0.748064527081784
"35",0.75135422879815
"36",0.754445835311242
"37",0.757363081793116
"38",0.760129879773446
"39",0.762770275501475
"40",0.765308408100753
"41",0.767768467584742
"42",0.77017465280161
"43",0.772551129376613
"44",0.774921987720511
"45",0.777311201172328
"46",0.779742584344543
"47",0.782239751738496
"48",0.784826076697335
"49",0.78752465076327
"50",0.790358243505281
"51",0.793349262882628
"52",0.796519716208652
"53",0.799891171778396
"54",0.80348472122248
"55",0.807320942648488
"56",0.811419864629864
"57",0.815800931100917
"58",0.820482967215085
"59",0.825484146222029
"60",0.830821957417486
"61",0.836513175218074
"62",0.842573829411407
"63",0.849019176629973
"64",0.855863673095258
"65",0.863120948676523
"66",0.870803782306511
"67",0.87892407879418
"68",0.88749284707226
"69",0.896520179915139
"70",0.906015235160176
"71",0.91598621846311
"72",0.926440367615751
"73",0.937383938451593
"74",0.948822192362429
"75",0.960759385446433
"76",0.973198759305508
"77",0.986142533507067
"78",0.999591899722674
"79",1.01354701755327
"80",1.02800701204799
"81",1.0429699729208
"82",1.05843295546643
"83",1.0743919831744
"84",1.09084205203709
"85",1.10777713654498
"86",1.12519019735984
"87",1.14307319065329
"88",1.16141707909617
"89",1.1802118444808
"90",1.19944650195611
"91",1.21910911585274
"92",1.23918681707255
"93",1.25966582201469
"94",1.28053145300779
"95",1.30176816021516
"96",1.32335954497798
"97",1.34528838455861
"98",1.36753665824428
"99",1.39008557476893
"100",1.41291560100912
"101",1.43600649190742
"102",1.45933732157536
"103",1.48288651552533
"104",1.50663188397968
"105",1.53055065620306
"106",1.5546195158026
"107",1.57881463693888
"108",1.60311172138926
"109",1.62748603640353
"110",1.65191245329086
"111",1.67636548667559
"112",1.70081933435847
"113",1.72524791771883
"114",1.74962492259252
"115",1.77392384055936
"116",1.79811801057347
"117",1.82218066086908
"118",1.84608495107422
"119",1.86980401446391
"120",1.89331100028488
"121",1.91657911608304
"122",1.93958166996545
"123",1.96229211272839
"124",1.98468407978337
"125",2.00673143281325
"126",2.02840830109119
"127",2.04968912239544
"128",2.07054868345398
"129",2.09096215985339
"130",2.11090515534748
"131",2.1303537405022
"132",2.14928449061403
"133",2.16767452284085
"134",2.18550153248491
"135",2.20274382836942
"136",2.21938036725141
"137",2.23539078721518
"138",2.25075543999245
"139",2.26545542215669
"140",2.27947260514132
"141",2.29278966403324
"142",2.30539010509492
"143",2.3172582919707
"144",2.32837947053483
"145",2.33873979234099
"146",2.34832633663541
"147",2.35712713089803
"148",2.36513116987825
"149",2.37232843309474
"150",2.37870990077079
"151",2.38426756817945
"152",2.38899445837539
"153",2.39288463329262
"154",2.39593320319042
"155",2.39813633443188
"156",2.39949125558271
"157",2.39999626182035
"158",2.39965071764623
"159",2.39845505789677
"160",2.39641078705165
"161",2.39352047684022
"162",2.38978776215011
"163",2.38521733524463
"164",2.37981493829818
"165",2.373587354262
"166",2.36654239607477
"167",2.35868889423572
"168",2.35003668276031
"169",2.34059658354107
"170",2.33038038913914
"171",2.31940084403416
"172",2.30767162436296
"173",2.29520731617982
"174",2.28202339227335
"175",2.2681361875778
"176",2.25356287321817
"177",2.23832142923155
"178",2.22243061600851
"179",2.20590994450085
"180",2.18877964524403
"181",2.17106063624414
"182",2.15277448978171
"183",2.13394339818572
"184",2.11459013863342
"185",2.0947380370329
"186",2.07441093104664
"187",2.05363313231614
"188",2.03242938794853
"189",2.01082484132756
"190",1.98884499231239
"191",1.96651565688842
"192",1.94386292633568
"193",1.92091312598055
"194",1.89769277359779
"195",1.8742285375299
"196",1.85054719459183
"197",1.82667558782888
"198",1.8026405841963
"199",1.77846903222885
"200",1.75418771976897
"201",1.72982333182176
"202",1.70540240860503
"203",1.68095130386211
"204",1.65649614350508
"205",1.63206278465496
"206",1.60767677514534
"207",1.58336331355476
"208",1.55914720983256
"209",1.53505284658175
"210",1.51110414106148
"211",1.48732450797062
"212",1.46373682307244
"213",1.44036338771926
"214",1.41722589433438
"215",1.394345392907
"216",1.37174225855425
"217",1.34943616020277
"218",1.32744603044034
"219",1.30579003658628
"220",1.28448555302728
"221",1.26354913486324
"222",1.24299649290584
"223",1.22284247006987
"224",1.20310101919564
"225",1.18378518233801
"226",1.16490707155558
"227",1.14647785123078
"228",1.12850772194952
"229",1.11100590596608
"230",1.09398063427679
"231",1.07743913532312
"232",1.06138762534235
"233",1.04583130038111
"234",1.03077432998474
"235",1.01621985257223
"236",1.00216997250424
"237",0.988625758848531
"238",0.975587245844785
"239",0.963053435067663
"240",0.95102229928449
"241",0.939490788001033
"242",0.928454834686181
"243",0.917909365663584
"244",0.907848310655612
"245",0.898264614962316
"246",0.889150253255436
"247",0.880496244964849
"248",0.872292671232304
"249",0.864528693404725
"250",0.857192573036884
"251",0.850271693370788
"252",0.843752582256732
"253",0.837620936478628
"254",0.831861647443963
"255",0.826458828196499
"256",0.821395841707699
"257",0.81665533040079
"258",0.81221924685937
"259",0.808068885670544
"260",0.804184916350746
"261",0.800547417300626
"262",0.797135910733748
"263",0.793929398522213
"264",0.790906398900897
"265",0.788044983970544
"266",0.785322817938698
"267",0.78271719603624
"268",0.780205084046207
"269",0.77776315838058
"270",0.77536784663983
"271",0.772995368589234
"272",0.770621777485295
"273",0.768223001685035
"274",0.765774886470455
"275",0.763253236020133
"276",0.760633855459667
"277",0.757892592922549
"278",0.755005381553045
"279",0.751948281382738
"280",0.748697521012601
"281",0.745229539032782
"282",0.741521025112695
"283",0.737548960694567
"284",0.733290659224204
"285",0.728723805853513
"286",0.723826496550161
"287",0.718577276550694
"288",0.712955178094551
"289",0.706939757377509
"290",0.70051113066441
"291",0.69365000950235
"292",0.686337734976995
"293",0.678556310956202
"294",0.670288436266797
"295",0.66151753575207
"296",0.652227790159371
"297",0.642404164809075
"298",0.632032436998157
"299",0.621099222093698
"300",0.609591998273695
"301",0.597499129874839
"302",0.584809889309083
"303",0.571514477513196
"304",0.55760404289788
"305",0.54307069876541
"306",0.527907539167297
"307",0.512108653175943
"308",0.495669137546883
"309",0.47858510775077
"310",0.46085370735692
"311",0.442473115752913
"312",0.423442554187408
"313",0.4037622901261
"314",0.383433639913423
"315",0.362458969735382
"316",0.340841694881645
"317",0.318586277307775
"318",0.295698221501229
"319",0.272184068657527
"320",0.248051389175685
"321",0.223308773484792
"322",0.19796582121624
"323",0.172033128738868
"324",0.145522275076896
"325",0.118445806233116
"326",0.090817217942487
"327",0.0626509368836981
"328",0.0339623003788757
"329",0.00476753461398804
"330",-0.0249162685850876
"331",-0.055071176383484
"332",-0.0856784409357131
"333",-0.116718526709617
"334",-0.148171139091974
"335",-0.180015254229739
"336",-0.212229150058831
"337",-0.244790438470572
"338",-0.277676098563914
"339",-0.310862510929921
"340",-0.344325492913265
"341",-0.378040334793904
"342",-0.41198183683064
"343",-0.446124347106836
"344",-0.480441800117295
"345",-0.514907756034077
"346",-0.549495440587939
"347",-0.584177785501116
"348",-0.618927469406176
"349",-0.653716959185044
"350",-0.688518551661427
"351",-0.72330441557945
"352",-0.758046633800785
"353",-0.79271724565216
"354",-0.827288289355007
"355",-0.861731844468728
"356",-0.89602007427914
"357",-0.93012526806375
"358",-0.964019883165595
"359",-0.997676586807848
"360",-1.03106829758168
"361",-1.06416822654049
"362",-1.09694991783414
"363",-1.12938728881776
"364",-1.16145466957031
"365",-1.1931268417592
"366",-1.22437907678831
"367",-1.25518717316779
"368",-1.28552749304554
"369",-1.31537699784124
"370",-1.34471328292562
"371",-1.3735146112891
"372",-1.40175994614529
"373",-1.42942898241704
"374",-1.4565021770542
"375",-1.48296077813418
"376",-1.50878685269855
"377",-1.53396331328065
"378",-1.55847394308174
"379",-1.58230341975495
"380",-1.60543733775881
"381",-1.62786222924446
"382",-1.64956558344288
"383",-1.67053586452098
"384",-1.6907625278779
"385",-1.71023603485535
"386",-1.72894786583839
"387",-1.74689053172567
"388",-1.76405758375077
"389",-1.78044362163897
"390",-1.79604430008653
"391",-1.81085633355207
"392",-1.82487749935267
"393",-1.83810663905978
"394",-1.850543658193
"395",-1.86218952421239
"396",-1.87304626281271
"397",-1.88311695252604
"398",-1.89240571764146
"399",-1.90091771945367
"400",-1.90865914585481
"401",-1.91563719928672
"402",-1.92186008307312
"403",-1.92733698615426
"404",-1.93207806624889
"405",-1.936094431471
"406",-1.93939812043142
"407",-1.94200208085651
"408",-1.94392014675901
"409",-1.94516701419799
"410",-1.94575821566758
"411",-1.94571009315593
"412",-1.94503976991842
"413",-1.94376512101089
"414",-1.94190474263089
"415",-1.93947792031674
"416",-1.93650459605609
"417",-1.93300533435751
"418",-1.92900128734007
"419",-1.92451415889787
"420",-1.91956616799747
"421",-1.91418001116807
"422",-1.9083788242452
"423",-1.90218614343013
"424",-1.8956258657282
"425",-1.88872220883032
"426",-1.88149967050277
"427",-1.87398298755127
"428",-1.86619709442582
"429",-1.85816708153366
"430",-1.84991815332794
"431",-1.84147558624007
"432",-1.83286468652415
"433",-1.82411074808181
"434",-1.81523901033592
"435",-1.80627461622154
"436",-1.79724257036233
"437",-1.78816769750015
"438",-1.77907460124549
"439",-1.76998762321549
"440",-1.76093080262599
"441",-1.75192783640301
"442",-1.74300203987862
"443",-1.73417630813463
"444",-1.72547307805723
"445",-1.71691429116369
"446",-1.70852135726184
"447",-1.70031511900096
"448",-1.69231581737181
"449",-1.68454305821166
"450",-1.67701577976863
"451",-1.66975222137805
"452",-1.6627698933016
"453",-1.65608554777813
"454",-1.64971515133314
"455",-1.64367385839188
"456",-1.6379759862388
"457",-1.63263499136399
"458",-1.62766344723501
"459",-1.62307302353014
"460",-1.61887446686667
"461",-1.61507758305566
"462",-1.61169122091173
"463",-1.60872325764433
"464",-1.60618058585407
"465",-1.60406910215524
"466",-1.602393697443
"467",-1.60115824882095
"468",-1.60036561320227
"469",-1.60001762259472
"470",-1.6001150810772
"471",-1.60065776347279
"472",-1.60164441572031
"473",-1.60307275694399
"474",-1.60493948321768
"475",-1.60724027301767
"476",-1.60996979435516
"477",-1.6131217135769
"478",-1.6166887058196
"479",-1.62066246710135
"480",-1.62503372803021
"481",-1.62979226910792
"482",-1.63492693760382
"483",-1.6404256659716
"484",-1.64627549177909
"485",-1.65246257911866
"486",-1.65897224146359
"487",-1.66578896593325
"488",-1.67289643892787
"489",-1.6802775730911
"490",-1.68791453555689
"491",-1.69578877743466
"492",-1.70388106448501
"493",-1.71217150893622
"494",-1.72063960238995
"495",-1.72926424976267
"496",-1.73802380420786
"497",-1.74689610296231
"498",-1.75585850405826
"499",-1.76488792384198
"500",-1.77396087523788
"501",-1.78305350669595
"502",-1.79214164175949
"503",-1.80120081918893
"504",-1.81020633357646
"505",-1.81913327638585
"506",-1.8279565773506
"507",-1.83665104616347
"508",-1.84519141438957
"509",-1.8535523775351
"510",-1.86170863720343
"511",-1.86963494327015
"512",-1.87730613600855
"513",-1.88469718809727
"514",-1.89178324644189
"515",-1.89853967374255
"516",-1.90494208974015
"517",-1.91096641207425
"518",-1.91658889668618
"519",-1.92178617770189
"520",-1.92653530672975
"521",-1.93081379150949
"522",-1.93459963384949
"523",-1.93787136679086
"524",-1.94060809093789
"525",-1.94278950989592
"526",-1.94439596475897
"527",-1.94540846759121
"528",-1.94580873384776
"529",-1.94557921368215
"530",-1.94470312208967
"531",-1.94316446783734
"532",-1.94094808113379
"533",-1.93803963999374
"534",-1.93442569525438
"535",-1.93009369420288
"536",-1.92503200277653
"537",-1.91922992629942
"538",-1.91267772872185
"539",-1.90536665033104
"540",-1.89728892390441
"541",-1.88843778927885
"542",-1.8788075063124
"543",-1.86839336621696
"544",-1.85719170124352
"545",-1.84519989270412
"546",-1.83241637731709
"547",-1.81884065186537
"548",-1.80447327615989
"549",-1.78931587430318
"550",-1.77337113425082
"551",-1.75664280567129
"552",-1.73913569610741
"553",-1.72085566544546
"554",-1.70180961870051
"555",-1.68200549712971
"556",-1.66145226768744
"557",-1.64015991083928
"558",-1.61813940675433
"559",-1.59540271989796
"560",-1.57196278204972
"561",-1.5478334737737
"562",-1.5230296043711
"563",-1.49756689034722
"564",-1.47146193242752
"565",-1.44473219115981
"566",-1.41739596114167
"567",-1.38947234391478
"568",-1.36098121956971
"569",-1.33194321710692
"570",-1.30237968360178
"571",-1.27231265222331
"572",-1.24176480915799
"573",-1.21075945949236
"574",-1.17932049210892
"575",-1.1474723436524
"576",-1.11523996162416
"577",-1.08264876666441
"578",-1.04972461408305
"579",-1.01649375470117
"580",-0.982982795066333
"581",-0.949218657105945
"582",-0.915228537283585
"583",-0.881039865324404
"584",-0.846680262576036
"585",-0.812177500072244
"586",-0.777559456366963
"587",-0.742854075206731
"588",-0.708089323109833
"589",-0.67329314692057
"590",-0.638493431407128
"591",-0.603717956971475
"592",-0.568994357539456
"593",-0.534350078699066
"594",-0.499812336154398
"595",-0.465408074562276
"596",-0.431163926817994
"597",-0.39710617385575
"598",-0.363260705028696
"599",-0.32965297913243
"600",-0.296307986134786
"601",0.201201201201201
"602",0.203203203203203
"603",0.205205205205205
"604",0.207207207207207
"605",0.209209209209209
"606",0.211211211211211
"607",0.213213213213213
"608",0.215215215215215
"609",0.217217217217217
"610",0.219219219219219
"611",0.221221221221221
"612",0.223223223223223
"613",0.225225225225225
"614",0.227227227227227
"615",0.229229229229229
"616",0.231231231231231
"617",0.233233233233233
"618",0.235235235235235
"619",0.237237237237237
"620",0.239239239239239
"621",0.241241241241241
"622",0.243243243243243
"623",0.245245245245245
"624",0.247247247247247
"625",0.249249249249249
"626",0.251251251251251
"627",0.253253253253253
"628",0.255255255255255
"629",0.257257257257257
"630",0.259259259259259
"631",0.261261261261261
"632",0.263263263263263
"633",0.265265265265265
"634",0.267267267267267
"635",0.269269269269269
"636",0.271271271271271
"637",0.273273273273273
"638",0.275275275275275
"639",0.277277277277277
"640",0.279279279279279
"641",0.281281281281281
"642",0.283283283283283
"643",0.285285285285285
"644",0.287287287287287
"645",0.289289289289289
"646",0.291291291291291
"647",0.293293293293293
"648",0.295295295295295
"649",0.297297297297297
"650",0.299299299299299
"651",0.301301301301301
"652",0.303303303303303
"653",0.305305305305305
"654",0.307307307307307
"655",0.309309309309309
"656",0.311311311311311
"657",0.313313313313313
"658",0.315315315315315
"659",0.317317317317317
"660",0.319319319319319
"661",0.321321321321321
"662",0.323323323323323
"663",0.325325325325325
"664",0.327327327327327
"665",0.329329329329329
"666",0.331331331331331
"667",0.333333333333333
"668",0.335335335335335
"669",0.337337337337337
"670",0.339339339339339
"671",0.341341341341341
"672",0.343343343343343
"673",0.345345345345345
"674",0.347347347347347
"675",0.349349349349349
"676",0.351351351351351
"677",0.353353353353353
"678",0.355355355355355
"679",0.357357357357357
"680",0.359359359359359
"681",0.361361361361361
"682",0.363363363363363
"683",0.365365365365365
"684",0.367367367367367
"685",0.369369369369369
"686",0.371371371371371
"687",0.373373373373373
"688",0.375375375375375
"689",0.377377377377377
"690",0.379379379379379
"691",0.381381381381381
"692",0.383383383383383
"693",0.385385385385385
"694",0.387387387387387
"695",0.389389389389389
"696",0.391391391391391
"697",0.393393393393393
"698",0.395395395395395
"699",0.397397397397397
"700",0.399399399399399
"701",0.401401401401401
"702",0.403403403403403
"703",0.405405405405405
"704",0.407407407407407
"705",0.409409409409409
"706",0.411411411411411
"707",0.413413413413413
"708",0.415415415415415
"709",0.417417417417417
"710",0.419419419419419
"711",0.421421421421421
"712",0.423423423423423
"713",0.425425425425425
"714",0.427427427427427
"715",0.429429429429429
"716",0.431431431431431
"717",0.433433433433433
"718",0.435435435435436
"719",0.437437437437437
"720",0.439439439439439
"721",0.441441441441441
"722",0.443443443443443
"723",0.445445445445446
"724",0.447447447447447
"725",0.449449449449449
"726",0.451451451451451
"727",0.453453453453453
"728",0.455455455455456
"729",0.457457457457457
"730",0.459459459459459
"731",0.461461461461461
"732",0.463463463463463
"733",0.465465465465466
"734",0.467467467467467
"735",0.469469469469469
"736",0.471471471471471
"737",0.473473473473474
"738",0.475475475475476
"739",0.477477477477477
"740",0.479479479479479
"741",0.481481481481481
"742",0.483483483483484
"743",0.485485485485486
"744",0.487487487487487
"745",0.489489489489489
"746",0.491491491491491
"747",0.493493493493494
"748",0.495495495495496
"749",0.497497497497497
"750",0.499499499499499
"751",0.501501501501501
"752",0.503503503503504
"753",0.505505505505506
"754",0.507507507507508
"755",0.509509509509509
"756",0.511511511511511
"757",0.513513513513514
"758",0.515515515515516
"759",0.517517517517518
"760",0.519519519519519
"761",0.521521521521521
"762",0.523523523523524
"763",0.525525525525526
"764",0.527527527527528
"765",0.52952952952953
"766",0.531531531531531
"767",0.533533533533534
"768",0.535535535535536
"769",0.537537537537538
"770",0.53953953953954
"771",0.541541541541541
"772",0.543543543543544
"773",0.545545545545546
"774",0.547547547547548
"775",0.54954954954955
"776",0.551551551551551
"777",0.553553553553554
"778",0.555555555555556
"779",0.557557557557558
"780",0.55955955955956
"781",0.561561561561561
"782",0.563563563563564
"783",0.565565565565566
"784",0.567567567567568
"785",0.56956956956957
"786",0.571571571571571
"787",0.573573573573574
"788",0.575575575575576
"789",0.577577577577578
"790",0.57957957957958
"791",0.581581581581581
"792",0.583583583583584
"793",0.585585585585586
"794",0.587587587587588
"795",0.58958958958959
"796",0.591591591591591
"797",0.593593593593594
"798",0.595595595595596
"799",0.597597597597598
"800",0.5995995995996
"801",0.601601601601601
"802",0.603603603603604
"803",0.605605605605606
"804",0.607607607607608
"805",0.60960960960961
"806",0.611611611611612
"807",0.613613613613614
"808",0.615615615615616
"809",0.617617617617618
"810",0.61961961961962
"811",0.621621621621622
"812",0.623623623623624
"813",0.625625625625626
"814",0.627627627627628
"815",0.62962962962963
"816",0.631631631631632
"817",0.633633633633634
"818",0.635635635635636
"819",0.637637637637638
"820",0.63963963963964
"821",0.641641641641642
"822",0.643643643643644
"823",0.645645645645646
"824",0.647647647647648
"825",0.64964964964965
"826",0.651651651651652
"827",0.653653653653654
"828",0.655655655655656
"829",0.657657657657658
"830",0.65965965965966
"831",0.661661661661662
"832",0.663663663663664
"833",0.665665665665666
"834",0.667667667667668
"835",0.66966966966967
"836",0.671671671671672
"837",0.673673673673674
"838",0.675675675675676
"839",0.677677677677678
"840",0.67967967967968
"841",0.681681681681682
"842",0.683683683683684
"843",0.685685685685686
"844",0.687687687687688
"845",0.68968968968969
"846",0.691691691691692
"847",0.693693693693694
"848",0.695695695695696
"849",0.697697697697698
"850",0.6996996996997
"851",0.701701701701702
"852",0.703703703703704
"853",0.705705705705706
"854",0.707707707707708
"855",0.70970970970971
"856",0.711711711711712
"857",0.713713713713714
"858",0.715715715715716
"859",0.717717717717718
"860",0.71971971971972
"861",0.721721721721722
"862",0.723723723723724
"863",0.725725725725726
"864",0.727727727727728
"865",0.72972972972973
"866",0.731731731731732
"867",0.733733733733734
"868",0.735735735735736
"869",0.737737737737738
"870",0.73973973973974
"871",0.741741741741742
"872",0.743743743743744
"873",0.745745745745746
"874",0.747747747747748
"875",0.74974974974975
"876",0.751751751751752
"877",0.753753753753754
"878",0.755755755755756
"879",0.757757757757758
"880",0.75975975975976
"881",0.761761761761762
"882",0.763763763763764
"883",0.765765765765766
"884",0.767767767767768
"885",0.76976976976977
"886",0.771771771771772
"887",0.773773773773774
"888",0.775775775775776
"889",0.777777777777778
"890",0.77977977977978
"891",0.781781781781782
"892",0.783783783783784
"893",0.785785785785786
"894",0.787787787787788
"895",0.78978978978979
"896",0.791791791791792
"897",0.793793793793794
"898",0.795795795795796
"899",0.797797797797798
"900",0.7997997997998
"901",0.801801801801802
"902",0.803803803803804
"903",0.805805805805806
"904",0.807807807807808
"905",0.80980980980981
"906",0.811811811811812
"907",0.813813813813814
"908",0.815815815815816
"909",0.817817817817818
"910",0.81981981981982
"911",0.821821821821822
"912",0.823823823823824
"913",0.825825825825826
"914",0.827827827827828
"915",0.82982982982983
"916",0.831831831831832
"917",0.833833833833834
"918",0.835835835835836
"919",0.837837837837838
"920",0.83983983983984
"921",0.841841841841842
"922",0.843843843843844
"923",0.845845845845846
"924",0.847847847847848
"925",0.84984984984985
"926",0.851851851851852
"927",0.853853853853854
"928",0.855855855855856
"929",0.857857857857858
"930",0.85985985985986
"931",0.861861861861862
"932",0.863863863863864
"933",0.865865865865866
"934",0.867867867867868
"935",0.86986986986987
"936",0.871871871871872
"937",0.873873873873874
"938",0.875875875875876
"939",0.877877877877878
"940",0.87987987987988
"941",0.881881881881882
"942",0.883883883883884
"943",0.885885885885886
"944",0.887887887887888
"945",0.88988988988989
"946",0.891891891891892
"947",0.893893893893894
"948",0.895895895895896
"949",0.897897897897898
"950",0.8998998998999
"951",0.901901901901902
"952",0.903903903903904
"953",0.905905905905906
"954",0.907907907907908
"955",0.90990990990991
"956",0.911911911911912
"957",0.913913913913914
"958",0.915915915915916
"959",0.917917917917918
"960",0.91991991991992
"961",0.921921921921922
"962",0.923923923923924
"963",0.925925925925926
"964",0.927927927927928
"965",0.92992992992993
"966",0.931931931931932
"967",0.933933933933934
"968",0.935935935935936
"969",0.937937937937938
"970",0.93993993993994
"971",0.941941941941942
"972",0.943943943943944
"973",0.945945945945946
"974",0.947947947947948
"975",0.94994994994995
"976",0.951951951951952
"977",0.953953953953954
"978",0.955955955955956
"979",0.957957957957958
"980",0.95995995995996
"981",0.961961961961962
"982",0.963963963963964
"983",0.965965965965966
"984",0.967967967967968
"985",0.96996996996997
"986",0.971971971971972
"987",0.973973973973974
"988",0.975975975975976
"989",0.977977977977978
"990",0.97997997997998
"991",0.981981981981982
"992",0.983983983983984
"993",0.985985985985986
"994",0.987987987987988
"995",0.98998998998999
"996",0.991991991991992
"997",0.993993993993994
"998",0.995995995995996
"999",0.997997997997998
"1000",1
